refrigerator,11,Lithuania,8
strawberry seeds,7,United Kingdom,8
macOS Ventura,2,Yemen,7
DOOM Eternal,8,Macao,9
Save Willy,3,Cape Verde,16
oven,6,Svalbard & Jan Mayen Islands,8
Body Lotion,1,Isle of Man,14
Tissot Le Locle,10,Northern Mariana Islands,11
Golf Clubs,12,Eritrea,20
Assassin's Creed Valhalla,2,Philippines,8
Blade Runner 2049,4,Nepal,10
Folders,6,Cambodia,19
Mission: Impossible � Fallout,2,India,8
Ubuntu,11,Peru,3
The Catcher in the Rye,5,Lithuania,6
Pet Gates,5,Lesotho,2
refrigerator,10,Gabon,3
The Hobbit,10,Philippines,18
Golf Balls,9,Belize,2
Tag Heuer Carrera,9,Ukraine,5
Overwatch 2,12,Spain,2
modern sculpture,10,Iraq,1
vanilla candle,11,Solomon Islands,13
Patek Philippe Nautilus,8,Tunisia,4
magnesium,4,Guatemala,18
white plush throw pillow,5,Burkina Faso,9
Golf Bag,8,Bangladesh,8
clean slate,6,Fiji,13
Notebooks,9,Denmark,7
microwave,3,Rwanda,12
War and Peace,12,Svalbard & Jan Mayen Islands,9
The Lord of the Rings: The Fellowship of the Ring,7,Austria,11
piano,6,Burkina Faso,12
Food Bowl,7,Antigua and Barbuda,1
clean slate,10,Macao,1
Shrek,1,Cambodia,7
cello,2,Venezuela,2
To Kill a Mockingbird,10,Korea,14
big ben,2,Guernsey,15
big ben,10,Ireland,20
Foundation,10,French Southern Territories,7
Adobe Photoshop,6,Cote d'Ivoire,11
Pet Nail Clippers,3,Russian Federation,11
Golf Balls,3,Grenada,16
Patek Philippe Nautilus,4,Benin,13
Basketball,6,Bermuda,19
clean slate,3,Hong Kong,18
Pet Bed,2,Wallis and Futuna,6
Nail Polish,2,Christmas Island,6
Baseball Glove,3,South Africa,8
Volleyball,8,Congo,15
advil,5,Dominican Republic,17
iOS,12,Christmas Island,10
Face Mask,8,Myanmar,16
Fishing Rod,3,Guernsey,8
Ubuntu,8,Dominica,13
Stapler,4,Russian Federation,12
Golf Clubs,11,Finland,8
Save Willy,6,Egypt,4
Star Wars: Episode IV - A New Hope,12,Bolivia,20
cello,10,Ireland,13
Water Bowl,4,Malaysia,8
Hiking Boots,3,Guatemala,14
Pet Crate,12,Canada,6
Cat Litter,6,Malaysia,9
Food Bowl,5,Luxembourg,4
vanilla candle,8,South Georgia and the South Sandwich Islands,10
Makeup Remover,4,Egypt,10
Foundation,8,Solomon Islands,18
War and Peace,3,Namibia,9
Golf Glove,1,Latvia,11
Lipstick,6,Mayotte,3
Tennis Racket,1,Bosnia and Herzegovina,18
vanilla candle,3,Falkland Islands (Malvinas),11
Lipstick,10,Liechtenstein,11
Pens,2,Saint Barthelemy,19
microwave,11,Guinea,2
Save Willy,9,Gambia,1
Inception,1,Ghana,20
cello,10,Faroe Islands,7
clean slate,2,Albania,20
Binders,1,Cambodia,13
demons,1,Lithuania,4
Battlefield 2042,5,Malawi,16
Pride and Prejudice,8,North Macedonia,2
 mermaid sculpture,2,Mauritania,9
Avengers: Endgame,10,Fiji,17
The Catcher in the Rye,8,Canada,16
Ubuntu,2,Algeria,27
Cat Litter,6,Czech Republic,16
Leash,2,Indonesia,3
The Legend of Zelda: Breath of the Wild,9,Australia,15
Fedora,7,Egypt,19
romantic poetry,1,Moldova,6
Lipstick,7,Guinea-Bissau,5
toe fungus cream,10,Korea,3
Grand Theft Auto V,4,Taiwan,7
clean slate,8,Cambodia,20
white fuzzy blanket,7,Tanzania,14
Grooming Brush,7,Uruguay,7
1984,3,Antarctica (the territory South of 60 deg S),6
Collar,6,Greenland,9
Assassin's Creed Valhalla,7,Latvia,2
dishwasher,12,New Zealand,18
Battlefield 2042,5,New Caledonia,8
Adobe Photoshop,10,Guam,17
Collar,8,Syrian Arab Republic,18
animal painting,5,Rwanda,12
Baseball Glove,1,French Southern Territories,7
Blade Runner 2049,10,Isle of Man,18
toaster,2,Sudan,3
Markers,5,Netherlands,9
The Catcher in the Rye,12,Cyprus,12
Golf Balls,5,Georgia,15
drums,1,Aruba,5
modern sculpture,4,Croatia,5
Tissot Le Locle,11,French Guiana,13
soil,11,Italy,10
Moisturizer,10,Macao,9
modern sculpture,11,Serbia,20
The Catcher in the Rye,8,Czech Republic,13
refrigerator,10,Guam,10
Soccer Ball,1,Zimbabwe,11
conga,3,Lithuania,11
Training Pads,9,South Georgia and the South Sandwich Islands,20
Overwatch 2,8,Belize,20
Pet Food,3,Macao,1
microwave,12,Turks and Caicos Islands,18
The Lord of the Rings,7,Guadeloupe,3
Blade Runner 2049,3,Yemen,15
Hiking Boots,5,Bangladesh,1
Hiking Boots,6,Mongolia,1
Folders,6,Saint Lucia,7
Inception,10,Saint Pierre and Miquelon,16
IWC Pilot�s Watch,12,Saint Martin,1
Pet Carrier Bag,8,Oman,5
microwave,12,Central African Republic,4
Golf Tees,8,British Virgin Islands,1
Highlighters,1,British Virgin Islands,4
War and Peace,5,Zambia,8
Eyeshadow,4,El Salvador,10
Baseball Glove,1,Ukraine,11
Battlefield 2042,9,Guinea,15
intense poetry,7,Bangladesh,12
into the ocean,4,Bulgaria,10
Camping Tent,7,Afghanistan,6
Golf Tees,3,Kyrgyz Republic,1
cello,5,Grenada,18
Android,3,Croatia,20
Longines Master Collection,1,Solomon Islands,18
toaster,3,Faroe Islands,12
Cleanser,1,Kuwait,5
Omega Seamaster,10,Nigeria,19
Water Bowl,1,Uzbekistan,3
Golf Glove,11,Pitcairn Islands,4
Baseball Glove,8,Ecuador,20
Basketball,8,Honduras,1
toaster,5,Cocos (Keeling) Islands,17
strawberry seeds,10,Armenia,18
Golf Balls,12,Mozambique,11
dishwasher,12,Botswana,10
Baseball Glove,9,Hungary,12
Assassin's Creed Valhalla,2,Nicaragua,16
Blush,9,Hong Kong,17
Fedora,2,Heard Island and McDonald Islands,12
animal painting,11,Egypt,9
sad poetry,7,Tonga,16
conga,2,Tunisia,18
cello,6,United States Virgin Islands,18
conga,8,Sao Tome and Principe,7
Shampoo,5,Ecuador,10
Hair Conditioner,3,Senegal,19
1984,4,Reunion,9
Pride and Prejudice,1,Swaziland,4
intense poetry,8,Rwanda,10
Grand Theft Auto V,12,French Polynesia,2
Moisturizer,10,Madagascar,19
Jurassic Park,9,Gambia,10
Golf Glove,2,Gibraltar,19
Grand Theft Auto V,1,Kiribati,3
Save Willy,1,Kenya,13
dishwasher,12,Kyrgyz Republic,9
Android,1,Costa Rica,9
The Lord of the Rings,9,Taiwan,9
Android,4,Chile,11
scenic painting,10,Tonga,9
Whiteboard,11,Somalia,10
Volleyball,6,Poland,10
white fuzzy blanket,2,Haiti,20
big ben,5,China,17
flute,11,Romania,16
Volleyball,11,Niue,20
Nail Polish,10,Latvia,7
Eraser,6,Gambia,20
Staples,5,Cameroon,13
Windows 11,3,Marshall Islands,12
toaster,5,Marshall Islands,4
Volleyball,2,Peru,13
toaster,10,Bolivia,14
motrin,6,Ghana,10
Apex Legends,9,Estonia,13
microwave,10,Cook Islands,13
Apex Legends,12,Vietnam,13
big ben,8,Tokelau,13
piano,10,Costa Rica,16
Soccer Ball,4,Somalia,18
fish oil,5,Guyana,4
Soccer Ball,3,Andorra,5
Portable Water Filter,11,Netherlands Antilles,12
floral painting,6,Norfolk Island,5
Cat Litter,5,Northern Mariana Islands,4
refrigerator,6,Cote d'Ivoire,12
Fishing Tackle,11,Brazil,10
Golf Glove,4,Turkey,3
Volleyball,5,Egypt,13
Volleyball,6,Barbados,6
romantic poetry,8,Azerbaijan,17
Pet Crate,5,Armenia,11
advil,10,Albania,4
conga,6,Fiji,20
Basketball,7,Malta,20
modern sculpture,6,Trinidad and Tobago,11
Windows 11,6,El Salvador,5
Lantern,9,Kuwait,2
Soccer Ball,8,Niue,15
shovel,10,Papua New Guinea,17
Battlefield 2042,2,Qatar,12
big ben,3,Turkey,4
The Hobbit,7,Cuba,15
To Kill a Mockingbird,8,San Marino,14
Longines Master Collection,3,Bolivia,18
Adobe Photoshop,11,Australia,4
DOOM Eternal,6,Slovenia,5
Adobe Photoshop,11,Chad,11
Training Pads,7,Panama,11
Omega Speedmaster Professional,12,Bangladesh,9
Cartier Tank,1,Iran,1
Tag Heuer Carrera,5,Belize,1
Whiteboard,1,Bosnia and Herzegovina,1
Breitling Navitimer,1,Central African Republic,8
Scratching Post,8,Philippines,16
Stapler,6,Cameroon,14
Rangefinder,1,Antigua and Barbuda,20
Rolex Submariner,8,Lesotho,19
Red Dead Redemption 2,8,Turkey,4
Overwatch 2,5,Sri Lanka,9
Baseball Bat,5,Croatia,10
modern sculpture,3,China,19
dishwasher,4,Saint Barthelemy,2
sad poetry,9,Philippines,16
Spider-Man (PS4),1,Saint Vincent and the Grenadines,9
big ben,1,Falkland Islands (Malvinas),17
Battlefield 2042,11,United States of America,10
Basketball,10,Greenland,16
Basketball,7,Taiwan,6
Portable Charger,11,Solomon Islands,10
Hiking Boots,5,Togo,20
Lantern,1,Montenegro,11
Inception,8,Belgium,3
Blade Runner 2049,10,Kazakhstan,12
Perfume,4,Saint Barthelemy,2
Jurassic Park,2,Bolivia,1
Notebooks,6,Mexico,10
Perfume,6,Guinea,16
Stapler,5,Swaziland,10
Fedora,10,Equatorial Guinea,3
planter pots,11,Spain,2
microwave,7,Kyrgyz Republic,13
white fuzzy blanket,6,Saint Lucia,16
The other woman,9,Palestinian Territory,5
Jaeger-LeCoultre Reverso,11,Philippines,7
Eyeshadow,5,Belarus,20
Volleyball,10,Montenegro,20
toe fungus cream,10,Yemen,18
IWC Pilot�s Watch,11,Sweden,19
Foundation,5,Cyprus,12
Baseball Bat,3,Palau,9
red plush throw pillow,7,Sao Tome and Principe,4
Blush,6,Guatemala,11
Battlefield 2042,9,Wallis and Futuna,15
Soccer Ball,12,French Southern Territories,9
macOS Ventura,5,Qatar,16
The other woman,11,United States Minor Outlying Islands,9
piano,2,Timor-Leste,5
iOS,7,Suriname,17
Cooler,8,Belize,18
Portable Water Filter,5,Canada,12
Concealer,6,Comoros,8
Ubuntu,3,Eritrea,13
oven,4,Mongolia,5
microwave,3,Slovenia,1
toe fungus cream,5,Niger,3
Whiteboard Markers,4,Belgium,15
Fedora,10,Faroe Islands,9
refrigerator,12,Korea,3
microwave,3,Heard Island and McDonald Islands,17
toaster,6,Paraguay,8
fish oil,2,Moldova,7
Avatar,3,Kazakhstan,16
flute,4,Canada,5
 mermaid sculpture,3,Iceland,11
Volleyball,2,Monaco,10
guitar,5,Greece,19
Pet Nail Clippers,1,Palau,13
microwave,11,Bosnia and Herzegovina,11
Eraser,10,Comoros,2
dishwasher,1,Australia,14
Golf Clubs,11,Barbados,20
War and Peace,1,Sao Tome and Principe,10
conga,10,Lesotho,17
Golf Balls,8,Holy See (Vatican City State),15
Portable Water Filter,10,Tokelau,1
motrin,12,Isle of Man,18
Cartier Tank,1,Cameroon,6
blackberry seeds,3,Falkland Islands (Malvinas),15
Lipstick,9,Albania,19
War and Peace,7,Madagascar,5
Baseball Glove,4,Svalbard & Jan Mayen Islands,13
conga,5,Myanmar,13
toaster,7,Peru,8
The Lord of the Rings: The Fellowship of the Ring,12,New Zealand,15
Golf Tees,5,Senegal,1
Serum,5,Malawi,16
blackberry seeds,2,Fiji,7
The other woman,12,Cayman Islands,5
guitar,1,Christmas Island,10
Highlighters,12,French Guiana,17
Golf Clubs,11,Netherlands Antilles,6
Omega Seamaster,8,Faroe Islands,6
Longines Master Collection,3,Greenland,10
Paper Clips,6,Malawi,14
War and Peace,12,Saint Pierre and Miquelon,16
Grand Theft Auto V,5,Puerto Rico,9
Breitling Navitimer,6,Dominica,3
Jaeger-LeCoultre Reverso,10,Zimbabwe,9
Baseball Bat,6,Kiribati,1
drums,6,Malaysia,10
Golf Glove,12,Sao Tome and Principe,6
Golf Balls,6,British Virgin Islands,6
Android,3,Timor-Leste,20
Basketball,6,Macao,15
Mad Max: Fury Road,12,Zimbabwe,19
toaster,12,India,3
Pet Gates,2,Tuvalu,13
The Legend of Zelda: Breath of the Wild,5,Spain,9
big ben,8,Martinique,4
Grand Theft Auto V,8,Cayman Islands,8
Jurassic Park,11,Vietnam,1
Windows 11,6,Yemen,15
strawberry seeds,7,Cote d'Ivoire,19
Pet Cleaning Wipes,12,Philippines,6
toe fungus cream,12,Liechtenstein,9
Whiteboard Markers,11,Guadeloupe,15
Body Lotion,7,North Macedonia,5
Leash,3,Brazil,13
Omega Seamaster,9,Bahamas,2
iOS,7,Burundi,8
magnesium,7,New Zealand,5
Lipstick,7,Suriname,7
 mermaid sculpture,2,Kuwait,16
into the ocean,12,Dominican Republic,3
Pencils,10,Taiwan,3
Face Mask,3,Sierra Leone,2
Baseball Bat,6,Norway,5
Basketball,6,Poland,8
Makeup Remover,4,Martinique,15
Overwatch 2,10,Timor-Leste,12
Staples,1,Kyrgyz Republic,5
advil,2,Taiwan,3
Pens,2,Hungary,3
 mermaid sculpture,9,Kiribati,1
blue fuzzy blanket,10,Korea,20
Longines Master Collection,2,Cape Verde,11
Golf Glove,6,Montserrat,2
The Great Gatsby,4,Tuvalu,15
Spider-Man (PS4),11,Germany,11
The Lord of the Rings,9,Uganda,2
Avengers: Endgame,5,Tunisia,4
flute,3,Albania,2
The Dark Knight,4,Guernsey,6
flute,5,Taiwan,19
Moby-Dick,4,Israel,3
Rolex Submariner,6,Svalbard & Jan Mayen Islands,14
advil,12,Mauritius,5
Highlighters,6,British Virgin Islands,4
1984,8,Saint Barthelemy,17
The Legend of Zelda: Breath of the Wild,3,Mauritius,12
Baseball Bat,8,Heard Island and McDonald Islands,16
Pet Food,2,Chad,19
Volleyball,11,Bolivia,9
Collar,4,Norfolk Island,2
DOOM Eternal,5,Slovakia (Slovak Republic),4
piano,5,Haiti,15
iOS,5,Saint Helena,15
Soccer Ball,7,Libyan Arab Jamahiriya,17
Staples,7,Iceland,2
refrigerator,4,Saint Kitts and Nevis,16
Tennis Racket,3,Pakistan,8
Apex Legends,8,Mozambique,19
cello,8,Belize,15
red plush throw pillow,1,Bulgaria,15
toaster,12,Micronesia,14
Horizon Forbidden West,12,Guinea-Bissau,19
toaster,3,Jersey,2
Inception,5,Montserrat,3
Blade Runner 2049,12,Estonia,11
white plush throw pillow,3,Bahrain,17
The Dark Knight,11,Reunion,8
Harness,7,United States of America,6
magnesium,12,Uzbekistan,19
Toys,5,Bouvet Island (Bouvetoya),3
flute,3,Congo,4
Camping Stove,2,Congo,18
Mad Max: Fury Road,1,Faroe Islands,16
War and Peace,7,Thailand,12
Paper Clips,2,Guernsey,14
Inception,5,Guinea,12
Backpack,8,Anguilla,14
Pet Crate,6,Cocos (Keeling) Islands,9
Counter-Strike: Global Offensive,8,Bouvet Island (Bouvetoya),18
Moisturizer,6,Bahamas,17
Soccer Ball,10,Nauru,7
Star Wars: Episode IV - A New Hope,11,Niger,14
Whiteboard,7,Peru,2
Tennis Racket,12,Senegal,3
toaster,1,Jamaica,7
modern sculpture,11,Cayman Islands,6
demons,2,Cote d'Ivoire,11
Pet Shampoo,12,Georgia,9
Call of Duty: Modern Warfare II,10,Yemen,1
dishwasher,2,Cayman Islands,8
Whiteboard Markers,8,Tajikistan,16
Pet Carrier Bag,12,Netherlands Antilles,1
Fedora,5,Trinidad and Tobago,16
planter pots,6,Morocco,19
strawberry seeds,6,New Caledonia,4
Golf Glove,2,Niue,13
dishwasher,1,Bosnia and Herzegovina,18
Campfire Grill,1,Italy,6
blue fuzzy blanket,3,Colombia,5
Crime and Punishment,4,Lithuania,14
Windows 11,10,Trinidad and Tobago,20
Toner,1,Saint Pierre and Miquelon,11
Staples,5,Kyrgyz Republic,20
Patek Philippe Nautilus,11,Mongolia,10
red fuzzy blanket,1,Portugal,18
drums,4,Saudi Arabia,11
Whiteboard,11,Isle of Man,17
magnesium,9,Mexico,20
iOS,6,Anguilla,1
refrigerator,3,Moldova,20
Basketball,6,Turkmenistan,19
floral painting,9,Gambia,18
microwave,9,Palestinian Territory,10
Battlefield 2042,4,Benin,8
Longines Master Collection,6,British Indian Ocean Territory (Chagos Archipelago),14
Pet Carrier,9,Slovakia (Slovak Republic),21
Counter-Strike: Global Offensive,7,Indonesia,19
Rolex Submariner,4,Montserrat,5
motrin,7,Monaco,15
The Dark Knight,6,Cambodia,9
Call of Duty: Modern Warfare II,11,Burundi,12
conga,5,Cocos (Keeling) Islands,7
romantic poetry,4,Jamaica,8
oven,3,Saint Pierre and Miquelon,17
feminine products,8,Romania,17
Inception,5,Montenegro,12
piano,10,Nauru,8
Horizon Forbidden West,8,Cambodia,1
Baseball Bat,6,France,8
Bug Spray,2,Grenada,5
Pencils,8,Slovenia,8
advil,9,Slovenia,20
Pride and Prejudice,11,Portugal,12
motrin,9,Estonia,13
white plush throw pillow,3,Sri Lanka,8
Feeding Station,1,Saudi Arabia,17
Folders,1,Tajikistan,1
Battlefield 2042,3,Aruba,12
Markers,6,Madagascar,19
Rangefinder,11,Liechtenstein,7
Fedora,6,Liberia,8
Rangefinder,8,Kiribati,7
War and Peace,1,Lithuania,1
blue fuzzy blanket,8,Armenia,1
Food Bowl,11,Bouvet Island (Bouvetoya),8
Spider-Man (PS4),7,Mauritius,5
feminine products,9,Tunisia,6
Rubber Bands,6,Benin,6
The other woman,9,Iran,33
Volleyball,9,Central African Republic,15
floral painting,5,Germany,11
Pet Crate,9,New Zealand,20
Hair Conditioner,9,Taiwan,20
Whiteboard Markers,5,Bahamas,8
guitar,2,Turkmenistan,13
Mission: Impossible � Fallout,11,Solomon Islands,19
microwave,10,Saint Martin,6
sad poetry,9,Tuvalu,2
romantic poetry,8,Aruba,20
Markers,10,Andorra,7
drums,8,Finland,14
Scratching Post,3,Bolivia,10
Outdoor Clothing,7,Serbia,6
Baseball Bat,1,Netherlands,19
Hair Conditioner,6,Eritrea,8
advil,9,Saint Pierre and Miquelon,5
1984,12,Holy See (Vatican City State),19
Rangefinder,12,France,2
